Variables,Time,Param_means,Param_vars,param_sd
NN,Day,1.6901898734177216,19.983263021043296,4.470264312212791
NN,Night,1.7378125,9.523169398584907,3.0859632853591936
percent_sgd,Day,2.028844041012658,14.725052672876348,3.8373236341070256
percent_sgd,Night,1.94479300905625,12.452425599331528,3.528799455810932
pH,Day,8.100474683544304,0.008384263686204941,0.09156562502492374
pH,Night,7.9700295160125,0.002189202267619968,0.04678891180204951
Phosphate,Day,0.1649367088607595,0.016348722083366928,0.12786212137833053
Phosphate,Night,0.1670625,0.010903895440251573,0.1044217191979311
Salinity,Day,34.01692522696202,1.667862757130684,1.2914576094981531
Salinity,Night,34.0455779405,1.4285809217636496,1.195232580615024
Silicate,Day,15.907721518987342,900.4859119729098,30.008097440072902
Silicate,Night,15.2381875,753.2643432350629,27.445661646880787
TA,Day,2255.2177021518987,1580.9812958411162,39.76155550077381
TA,Night,2268.52824681875,1671.8392272253982,40.8881306398984
Temp_in,Day,26.054424138227848,1.7835398344453384,1.3354923565656744
Temp_in,Night,25.0250273631875,1.304026395514294,1.141939751262865
